,Poblacion total,Superficie,Densidad,Porcentaje de poblacion urbana,Relacion hombre-mujer,Relacion de dependencia,Viviendas individuales,Promedio de ocupantes,Porcentaje de viviendas en buen estado,Porcentaje de viviendas haciendas,Porcentaje de alfabetizacion,10 a 24 annos,25 a mes annos,Escolaridad promedio,25 a 49 annos,50 o mas annos,Porcentaje de asistencia a la educacion,Menor de 5 annos,5 a 17 annos,18 a 24 annos,25 y mas annos,Personas fuera de la fuerza de trabajo (15 annos y mas),Tasa neta de participacion,Hombres,Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida
Dota,6948,400.2200012,17.3604517,30.62751871,95.77345731,50.45474231,1952,3.543032787,74.28278689,2.663934426,97.25416166,99.0990991,96.20763852,7.290478752,8.031429836,6.143248801,33.53125,7.481751825,86.30778233,44.09044193,6.50887574,48.78001549,51.21998451,76.60841938,27.05971277,18.52137081,7.09556707,8.246977547,15.09786989,23.64185111,6.19877
Curridabat,65206,15.94999981,4088.150519,100,88.3695401,40.0713181,19146,3.396949755,74.4124099,4.314217069,98.99987675,99.44644014,98.8094042,10.93876218,11.29734355,10.36232643,32.30718901,23.26209776,90.33045743,53.24775921,9.647844871,41.14916403,58.85083597,72.56511773,47.0649332,12.08368483,15.21485753,9.476121829,13.28558722,35.21783701,8.461297
Perez Zeledon,134534,1905.51001,70.60262046,48.50446727,94.56793694,51.42551635,38508,3.477718916,63.12194869,3.443440324,97.23680451,99.2673815,96.05430452,7.260107931,8.111626977,5.772642608,34.6749477,8.723214286,86.75815257,45.12672132,6.987257367,51.97482329,48.02517671,70.77625571,27.24863601,13.96895787,2.509402828,10.9481618,12.87481232,29.28422623,7.75683
Leon Cortes Castro,12200,120.8000031,100.9933749,40.52459016,101.320132,46.86409053,3377,3.61237785,57.62511105,2.605863192,96.62606342,98.76356296,95.29854255,6.388810531,7.053326928,5.141568981,31.07414617,5.567928731,83.19550116,37.03898841,4.607428303,52.82915015,47.17084985,75.86889573,18.42221243,15.95312126,4.106557377,9.631147541,13.02459016,21.71378607,5.68552
Alajuela,254886,388.4299927,656.1954659,87.98992491,97.41311874,44.26910581,72031,3.493926226,68.91060793,4.310644028,98.21869399,99.30964022,97.71157578,8.685943797,9.381962865,7.395189403,31.62707455,13.59519691,88.50637181,43.1753582,8.334124863,44.18239719,55.81760281,73.84937019,38.6220646,12.44346261,10.09078568,9.62783362,13.44326483,28.2371061,7.612
San Ramon,80566,1018.640015,79.09172901,52.91313954,96.42099617,47.47304644,23301,3.444830694,66.66237501,3.441912364,97.54088768,99.13967394,96.71698699,8.213539935,9.01448811,6.891474235,34.56631113,15.18819433,88.98520318,51.10502122,8.569971847,48.95226246,51.04773754,71.09082949,32.08881527,18.26141545,6.860213986,10.44361145,15.37869573,28.35305512,8.282906
Grecia,76898,395.7200012,194.3242691,61.52955864,98.39525284,46.18279979,21709,3.530517297,67.64014925,3.247501036,97.48964247,99.1043398,96.68581935,8.000850379,8.755623905,6.643578365,31.48231457,14.16926812,88.39362742,42.31558378,6.191680074,46.23251177,53.76748823,74.827743,33.41894495,15.03883112,9.106868839,10.11339697,14.44380868,24.01332073,7.001704
San Mateo,6136,125.9000015,48.73709234,26.25488918,103.9893617,51.43139191,1834,3.344056707,55.17993457,3.217011996,97.7394636,99.61856325,96.92898273,7.533589251,8.309073265,6.525851198,27.93139657,12.32227488,84.00297619,39.14246196,5.045242665,55.26594618,44.73405382,67.0279283,21.68103448,20.73643411,5.296610169,11.57105606,15.88983051,21.54011847,8.669575
Atenas,25460,127.1900024,200.1729657,56.23330715,100.1100369,44.90608993,7472,3.405915418,74.4111349,2.288543897,97.95723819,99.31066176,97.38726534,8.534094575,9.359143506,7.314198913,30.55497206,12.73385637,90.46688806,50.42412818,6.689890975,49.26022193,50.73977807,70.3030303,31.5753018,12.74282838,8.205027494,9.438334643,10.75019639,22.91966977,8.471627
Naranjo,42713,126.6200027,337.3321677,53.91332849,95.84135718,47.79584775,11678,3.648655592,65.78181195,3.50231204,97.36084984,99.03048229,96.51332527,7.634900113,8.533511348,6.138712904,32.69011912,13.52459016,90.16494845,46.0095498,6.180923385,49.25701195,50.74298805,72.91306298,30.01258012,17.82824164,6.822278931,9.638751668,16.36035867,26.43418632,7.235828
Palmares,34716,38.06000137,912.1386954,80.88489457,97.13798978,44.59577658,9657,3.582168375,65.87967278,2.164233199,98.20933418,99.32702419,97.68888018,8.60475934,9.543855402,7.155417186,33.4300979,19.78586724,91.36344913,55.65775401,7.682514812,48.25022196,51.74977804,70.70929526,33.74206578,16.23237617,3.966470792,9.68141491,13.31950686,27.63265306,9.485347
Poas,29199,73.83999634,395.4360976,57.90609267,98.75433939,46.39025368,7906,3.690235264,70.13660511,4.110801923,97.40789045,98.98342007,96.60787808,7.47495852,8.279842342,5.948014955,31.0686114,14.50710288,87.63537906,40.2022756,5.739568611,46.85305117,53.14694883,75.18984997,31.75772825,15.8241367,7.548203706,9.260591116,14.33953218,22.82743253,9.322034
Orotina,20341,141.9199982,143.3272285,51.68870754,96.36065257,49.40139552,6024,3.374335989,59.9435591,5.195883134,96.7355566,99.03277808,95.61533758,7.841732902,8.610579552,6.480764578,32.05951616,11.64755582,88.11053985,43.55278535,6.629399948,51.78701196,48.21298804,68.51726473,28.86996904,17.87827557,5.363551448,11.31212821,15.39747308,27.82225127,5.079681
